epoch,iteration,total_loss,L1,projection
30,50139,1.8499893485568464e-05,1.3343626960704569e-05,5.156266070116544e-06
30,50149,1.5106678802112583e-05,1.2032087397528812e-05,3.0745911772100953e-06
30,50159,1.3309292626217939e-05,1.094378239940852e-05,2.365509772062069e-06
30,50169,0.0001770691596902907,3.069185186177492e-05,0.00014637730782851577
30,50179,9.718257933855057e-05,2.1698699129046872e-05,7.548387657152489e-05
30,50189,9.705421689432114e-05,2.4009150365600362e-05,7.304506289074197e-05
30,50199,0.06551941484212875,1.2606093150679953e-05,0.06550680845975876
30,50209,0.09478631615638733,1.60172967298422e-05,0.09477029740810394
30,50219,1.433308261766797e-05,1.1702294614224229e-05,2.6307882308174158e-06
30,50229,1.934972169692628e-05,1.3709901395486668e-05,5.639820756186964e-06
30,50239,2.261323061247822e-05,1.4570998246199451e-05,8.042232366278768e-06
30,50249,1.2426481589500327e-05,1.049492129823193e-05,1.9315605186420726e-06
30,50259,2.065937951556407e-05,1.161495310952887e-05,9.0444264060352e-06
30,50269,1.4111542441241909e-05,1.1506338523759041e-05,2.6052041448565433e-06
30,50279,1.5470232028746977e-05,1.164999594038818e-05,3.820236997853499e-06
30,50289,1.2431260984158143e-05,1.0521805961616337e-05,1.9094552499154815e-06
30,50299,0.06630916148424149,1.181966217700392e-05,0.06629734486341476
30,50309,4.088499554200098e-05,1.665153649810236e-05,2.4233457224909216e-05
30,50319,0.0001346481149084866,2.2317191906040534e-05,0.00011233091936446726
30,50329,1.1492656085465569e-05,9.813395081437193e-06,1.6792608903415385e-06
30,50339,1.4984182598709594e-05,1.1162754162796773e-05,3.8214284359128214e-06
30,50349,1.818374039430637e-05,1.3354565453482792e-05,4.8291744860762265e-06
30,50359,1.4968279174354393e-05,1.2096244063286576e-05,2.872034883694141e-06
30,50369,1.4900899259373546e-05,1.0332935744372662e-05,4.5679635150008835e-06
30,50379,1.5793475540704094e-05,1.0801748430822045e-05,4.991727109882049e-06
30,50389,1.4776642274227925e-05,1.1670697858789936e-05,3.10594487018534e-06
30,50399,1.5159732356551103e-05,1.2081751265213825e-05,3.077981318710954e-06
30,50409,1.4558117072738241e-05,1.1684474884532392e-05,2.873642415579525e-06
30,50419,2.6966252335114405e-05,1.4416526937566232e-05,1.2549725397548173e-05
30,50429,1.2375980077194981e-05,1.0222129276371561e-05,2.1538510281970957e-06
30,50439,1.782830076990649e-05,1.2296031854930334e-05,5.532269369723508e-06
30,50449,1.494048410677351e-05,1.1289754183962941e-05,3.6507303775579203e-06
30,50459,1.7560019841766916e-05,1.298899223911576e-05,4.571027147903806e-06
30,50469,1.975661507458426e-05,1.3789126569463406e-05,5.967488050373504e-06
